Route,Year,sampled,Date,lek_num,route_leknum,count,real,pct_crp_est,pct_grass_est
3,2015,1,1/1/15,129,3.129,0,TRUE,6.723141822,87.87427209
3,2015,1,1/1/15,135,3.135,0,TRUE,5.557147935,92.63709428
3,2015,1,1/1/15,167,3.167,0,TRUE,5.373928195,89.89637306
3,2016,1,1/1/16,129,3.129,0,TRUE,6.727727085,87.8673942
3,2016,1,1/1/16,135,3.135,0,TRUE,5.564027012,92.69671295
3,2016,1,1/1/16,167,3.167,0,TRUE,5.522949241,90.00641937
3,2017,1,1/1/17,129,3.129,0,TRUE,6.730019717,87.88917419
3,2017,1,1/1/17,135,3.135,0,TRUE,5.558294447,92.7104711
3,2017,1,1/1/17,167,3.167,0,TRUE,5.643312394,90.01444358
3,2018,1,1/1/18,129,3.129,0,TRUE,6.738043927,87.87427209
3,2018,1,1/1/18,135,3.135,0,TRUE,5.60300845,92.701299
3,2018,1,1/1/18,167,3.167,0,TRUE,5.66853134,90.01558989
3,2019,1,1/1/19,129,3.129,0,TRUE,6.738043927,87.83185841
3,2019,1,1/1/19,135,3.135,0,TRUE,5.630524759,92.56486397
3,2019,1,1/1/19,167,3.167,0,TRUE,5.667385025,89.91356779
3,2020,1,1/1/20,129,3.129,0,TRUE,6.73460498,87.8971984
3,2020,1,1/1/20,135,3.135,0,TRUE,5.748615586,92.6210431
3,2020,1,1/1/20,167,3.167,0,TRUE,5.666238709,89.97546884
3,2021,1,1/1/21,129,3.129,0,TRUE,6.746068137,87.90751525
3,2021,1,1/1/21,135,3.135,0,TRUE,5.893076209,92.67034315
3,2021,1,1/1/21,167,3.167,0,TRUE,5.675409235,90.05341831
7,1985,1,4/20/85,17,7.17,18,TRUE,0,70.39109348
7,1985,1,4/20/85,18,7.18,21,TRUE,0,79.50884514
7,1985,1,4/20/85,19,7.19,17,TRUE,0,87.67899111
7,1985,1,4/20/85,40,7.4,0,TRUE,0,74.20271912
7,1985,1,4/20/85,41,7.41,0,TRUE,0,77.67803916
7,1985,1,4/20/85,42,7.42,0,TRUE,0,83.68074665
7,1985,1,4/20/85,52,7.52,0,TRUE,0,89.31855181
7,1985,1,4/20/85,53,7.53,0,TRUE,0,80.20703174
7,1985,1,4/20/85,54,7.54,0,TRUE,0,92.2015982
7,1985,1,4/20/85,68,7.68,0,TRUE,0,84.36009721
7,1985,1,4/20/85,69,7.69,0,TRUE,0,70.00470038
7,1985,1,4/20/85,70,7.7,0,TRUE,0,73.09800055
7,1985,1,4/20/85,84,7.84,0,TRUE,0,70.34812412
7,1985,1,4/20/85,85,7.85,0,TRUE,0,47.83381292
7,1985,1,4/20/85,86,7.86,0,TRUE,0,81.00730312
7,1985,1,4/20/85,92,7.92,0,TRUE,0,62.66293693
7,1985,1,4/20/85,93,7.93,0,TRUE,0,84.33229386
7,1985,1,4/20/85,100,7.1,0,TRUE,0,89.11156717
7,1985,1,4/20/85,112,7.112,0,TRUE,0,81.35669002
7,1985,1,4/20/85,122,7.122,0,TRUE,0,73.92231496
7,1985,1,4/20/85,134,7.134,0,TRUE,0,89.16799468
7,1985,1,4/20/85,154,7.154,0,TRUE,0,40.30471867
7,1985,1,4/20/85,155,7.155,0,TRUE,0,80.26021666
7,1985,1,4/20/85,182,7.182,0,TRUE,0,81.87977942
7,1985,1,4/20/85,183,7.183,0,TRUE,0,66.55508042
7,1985,1,4/20/85,193,7.193,0,TRUE,0,66.07325042
7,1985,1,4/20/85,194,7.194,0,TRUE,0,61.38237014
7,1985,1,4/20/85,225,7.225,0,TRUE,0,57.11452482
7,1985,1,4/20/85,240,7.24,0,TRUE,0,57.79721843
7,1985,1,4/20/85,242,7.242,0,TRUE,0,78.40028431
7,1985,1,4/20/85,243,7.243,0,TRUE,0,59.97156713
7,1985,1,4/20/85,247,7.247,0,TRUE,0,46.13920858
7,1986,1,4/22/86,17,7.17,0,TRUE,1.840237568,70.32459268
7,1986,1,4/22/86,18,7.18,25,TRUE,1.212982814,79.39878243
7,1986,1,4/22/86,19,7.19,0,TRUE,0.1501863,87.60791058
7,1986,1,4/22/86,40,7.4,17,TRUE,1.640415434,74.05025563
7,1986,1,4/22/86,41,7.41,21,TRUE,1.444490301,77.56683634
7,1986,1,4/22/86,42,7.42,18,TRUE,0.913823152,83.55920932
7,1986,1,4/22/86,52,7.52,0,TRUE,0.139866554,89.21422512
7,1986,1,4/22/86,53,7.53,0,TRUE,0.31295496,80.1416895
7,1986,1,4/22/86,54,7.54,0,TRUE,0.055031356,92.0995609
7,1986,1,4/22/86,68,7.68,0,TRUE,0.652283566,84.26380227
7,1986,1,4/22/86,69,7.69,0,TRUE,1.781558462,69.86254256
7,1986,1,4/22/86,70,7.7,0,TRUE,0.406998074,73.04296982
7,1986,1,4/22/86,84,7.84,0,TRUE,0.69808228,70.28737147
7,1986,1,4/22/86,85,7.85,0,TRUE,2.127781536,47.57701171
7,1986,1,4/22/86,86,7.86,0,TRUE,1.014640634,80.89380095
7,1986,1,4/22/86,92,7.92,0,TRUE,1.909959072,62.53453632
7,1986,1,4/22/86,93,7.93,0,TRUE,0.50215537,84.23369715
7,1986,1,4/22/86,100,7.1,0,TRUE,0.095160569,89.02787173
7,1986,1,4/22/86,112,7.112,0,TRUE,0.922879384,81.26612173
7,1986,1,4/22/86,122,7.122,0,TRUE,1.032972576,73.83518298
7,1986,1,4/22/86,134,7.134,0,TRUE,0.217832452,89.07512927
7,1986,1,4/22/86,154,7.154,0,TRUE,2.85917366,40.04677397
7,1986,1,4/22/86,155,7.155,0,TRUE,0.737089471,80.16507136
7,1986,1,4/22/86,182,7.182,0,TRUE,0.758974124,81.79837887
7,1986,1,4/22/86,183,7.183,0,TRUE,0.866704117,66.50693019
7,1986,1,4/22/86,193,7.193,0,TRUE,1.368716685,65.99071474
7,1986,1,4/22/86,194,7.194,0,TRUE,1.873273184,61.24021232
7,1986,1,4/22/86,225,7.225,0,TRUE,2.010776109,56.96893271
7,1986,1,4/22/86,240,7.24,0,TRUE,1.965213204,57.64931149
7,1986,1,4/22/86,242,7.242,0,TRUE,1.267941487,78.29022791
7,1986,1,4/22/86,243,7.243,0,TRUE,1.919218555,59.83169577
7,1986,1,4/22/86,247,7.247,0,TRUE,2.129854647,45.93974964
7,1987,1,4/25/87,17,7.17,18,TRUE,5.47141039,70.29478198
7,1987,1,4/25/87,18,7.18,23,TRUE,3.152838128,79.33228621
7,1987,1,4/25/87,19,7.19,0,TRUE,0.402407567,87.5551734
7,1987,1,4/25/87,40,7.4,0,TRUE,5.073709792,73.95969461
7,1987,1,4/25/87,41,7.41,0,TRUE,3.725867841,77.49805108
7,1987,1,4/25/87,42,7.42,5,TRUE,2.929508347,83.48697487
7,1987,1,4/25/87,52,7.52,6,TRUE,0.778437622,89.15231697
7,1987,1,4/25/87,53,7.53,NA,TRUE,0.763472539,80.12334782
7,1987,1,4/25/87,54,7.54,0,TRUE,0.382926522,92.03650413
7,1987,1,4/25/87,68,7.68,0,TRUE,1.106245415,84.19845928
7,1987,1,4/25/87,69,7.69,0,TRUE,5.586572965,69.79261009
7,1987,1,4/25/87,70,7.7,0,TRUE,0.948133541,73.02921214
7,1987,1,4/25/87,84,7.84,0,TRUE,1.490159218,70.25527574
7,1987,1,4/25/87,85,7.85,0,TRUE,7.628371949,47.54261868
7,1987,1,4/25/87,86,7.86,0,TRUE,2.70456187,80.83189067
7,1987,1,4/25/87,92,7.92,0,TRUE,5.65077327,62.50243617
7,1987,1,4/25/87,93,7.93,0,TRUE,1.86875172,84.17751995
7,1987,1,4/25/87,100,7.1,0,TRUE,0.456312127,88.97054608
7,1987,1,4/25/87,112,7.112,0,TRUE,2.553108556,81.2110929
7,1987,1,4/25/87,122,7.122,0,TRUE,1.852701091,73.77671283
7,1987,1,4/25/87,134,7.134,0,TRUE,0.562924917,89.0120725
7,1987,1,4/25/87,154,7.154,0,TRUE,10.53446141,40.00206356
7,1987,1,4/25/87,155,7.155,0,TRUE,1.376740987,80.10202327
7,1987,1,4/25/87,182,7.182,0,TRUE,2.365201839,81.74793346
7,1987,1,4/25/87,183,7.183,0,TRUE,1.680672269,66.48858725
7,1987,1,4/25/87,193,7.193,0,TRUE,2.602166562,65.92766665
7,1987,1,4/25/87,194,7.194,0,TRUE,6.163229275,61.19894069
7,1987,1,4/25/87,225,7.225,0,TRUE,6.427834461,56.93568726
7,1987,1,4/25/87,240,7.24,0,TRUE,6.074503824,57.61147483
7,1987,1,4/25/87,242,7.242,0,TRUE,3.376209474,78.22488192
7,1987,1,4/25/87,243,7.243,0,TRUE,5.790903775,59.79156874
7,1987,1,4/25/87,247,7.247,0,TRUE,8.612270164,45.89618965
7,1987,1,4/26/87,17,7.17,18,TRUE,5.47141039,70.29478198
7,1987,1,4/26/87,18,7.18,20,TRUE,3.152838128,79.33228621
7,1987,1,4/26/87,19,7.19,0,TRUE,0.402407567,87.5551734
7,1987,1,4/26/87,40,7.4,0,TRUE,5.073709792,73.95969461
7,1987,1,4/26/87,41,7.41,0,TRUE,3.725867841,77.49805108
7,1987,1,4/26/87,42,7.42,0,TRUE,2.929508347,83.48697487
7,1987,1,4/26/87,52,7.52,0,TRUE,0.778437622,89.15231697
7,1987,1,4/26/87,53,7.53,NA,TRUE,0.763472539,80.12334782
7,1987,1,4/26/87,54,7.54,6,TRUE,0.382926522,92.03650413
7,1987,1,4/26/87,68,7.68,0,TRUE,1.106245415,84.19845928
7,1987,1,4/26/87,69,7.69,0,TRUE,5.586572965,69.79261009
7,1987,1,4/26/87,70,7.7,0,TRUE,0.948133541,73.02921214
7,1987,1,4/26/87,84,7.84,0,TRUE,1.490159218,70.25527574
7,1987,1,4/26/87,85,7.85,0,TRUE,7.628371949,47.54261868
7,1987,1,4/26/87,86,7.86,0,TRUE,2.70456187,80.83189067
7,1987,1,4/26/87,92,7.92,0,TRUE,5.65077327,62.50243617
7,1987,1,4/26/87,93,7.93,0,TRUE,1.86875172,84.17751995
7,1987,1,4/26/87,100,7.1,0,TRUE,0.456312127,88.97054608
7,1987,1,4/26/87,112,7.112,0,TRUE,2.553108556,81.2110929
7,1987,1,4/26/87,122,7.122,0,TRUE,1.852701091,73.77671283
7,1987,1,4/26/87,134,7.134,0,TRUE,0.562924917,89.0120725
7,1987,1,4/26/87,154,7.154,0,TRUE,10.53446141,40.00206356
7,1987,1,4/26/87,155,7.155,0,TRUE,1.376740987,80.10202327
7,1987,1,4/26/87,182,7.182,0,TRUE,2.365201839,81.74793346
7,1987,1,4/26/87,183,7.183,0,TRUE,1.680672269,66.48858725
7,1987,1,4/26/87,193,7.193,0,TRUE,2.602166562,65.92766665
7,1987,1,4/26/87,194,7.194,0,TRUE,6.163229275,61.19894069
7,1987,1,4/26/87,225,7.225,0,TRUE,6.427834461,56.93568726
7,1987,1,4/26/87,240,7.24,0,TRUE,6.074503824,57.61147483
7,1987,1,4/26/87,242,7.242,0,TRUE,3.376209474,78.22488192
7,1987,1,4/26/87,243,7.243,0,TRUE,5.790903775,59.79156874
7,1987,1,4/26/87,247,7.247,0,TRUE,8.612270164,45.89618965
7,1988,1,4/28/88,17,7.17,0,TRUE,8.733389133,70.31312703
7,1988,1,4/28/88,18,7.18,12,TRUE,4.663907456,79.40336838
7,1988,1,4/28/88,19,7.19,0,TRUE,1.445686443,87.638865
7,1988,1,4/28/88,40,7.4,0,TRUE,7.344613339,74.04452392
7,1988,1,4/28/88,41,7.41,0,TRUE,5.288439492,77.57371486
7,1988,1,4/28/88,42,7.42,0,TRUE,4.606952853,83.57182168
7,1988,1,4/28/88,52,7.52,0,TRUE,1.931763465,89.23715406
7,1988,1,4/28/88,53,7.53,11,TRUE,2.015292378,80.20244632
7,1988,1,4/28/88,54,7.54,0,TRUE,1.199224975,92.13395549
7,1988,1,4/28/88,68,7.68,16,TRUE,2.017608217,84.29131511
7,1988,1,4/28/88,69,7.69,0,TRUE,8.257764224,69.84419962
7,1988,1,4/28/88,70,7.7,0,TRUE,2.392690085,73.08882876
7,1988,1,4/28/88,84,7.84,0,TRUE,2.961978014,70.32405232
7,1988,1,4/28/88,85,7.85,0,TRUE,12.15334701,47.61942976
7,1988,1,4/28/88,86,7.86,0,TRUE,4.19499444,80.89380095
7,1988,1,4/28/88,92,7.92,0,TRUE,9.571577608,62.55631857
7,1988,1,4/28/88,93,7.93,0,TRUE,3.301843529,84.24172246
7,1988,1,4/28/88,100,7.1,0,TRUE,1.521422593,89.04850896
7,1988,1,4/28/88,112,7.112,0,TRUE,3.816478843,81.26612173
7,1988,1,4/28/88,122,7.122,0,TRUE,3.331651839,73.86269834
7,1988,1,4/28/88,134,7.134,0,TRUE,1.414764454,89.10149846
7,1988,1,4/28/88,154,7.154,0,TRUE,15.88022195,40.08345944
7,1988,1,4/28/88,155,7.155,0,TRUE,2.797042471,80.19372958
7,1988,1,4/28/88,182,7.182,0,TRUE,3.362645174,81.81786914
7,1988,1,4/28/88,183,7.183,0,TRUE,3.154986415,66.54132321
7,1988,1,4/28/88,193,7.193,0,TRUE,4.095833095,66.009056
7,1988,1,4/28/88,194,7.194,0,TRUE,10.27548809,61.24135875
7,1988,1,4/28/88,225,7.225,0,TRUE,10.75432764,56.99644618
7,1988,1,4/28/88,240,7.24,0,TRUE,10.33170139,57.66765653
7,1988,1,4/28/88,242,7.242,0,TRUE,4.848213876,78.29825285
7,1988,1,4/28/88,243,7.243,0,TRUE,9.841440904,59.84889307
7,1988,1,4/28/88,247,7.247,0,TRUE,13.63084048,45.96726122
7,1988,1,5/30/88,17,7.17,0,TRUE,8.733389133,70.31312703
7,1988,1,5/30/88,18,7.18,12,TRUE,4.663907456,79.40336838
7,1988,1,5/30/88,19,7.19,0,TRUE,1.445686443,87.638865
7,1988,1,5/30/88,40,7.4,0,TRUE,7.344613339,74.04452392
7,1988,1,5/30/88,41,7.41,0,TRUE,5.288439492,77.57371486
7,1988,1,5/30/88,42,7.42,0,TRUE,4.606952853,83.57182168
7,1988,1,5/30/88,52,7.52,0,TRUE,1.931763465,89.23715406
7,1988,1,5/30/88,53,7.53,0,TRUE,2.015292378,80.20244632
7,1988,1,5/30/88,54,7.54,0,TRUE,1.199224975,92.13395549
7,1988,1,5/30/88,68,7.68,15,TRUE,2.017608217,84.29131511
7,1988,1,5/30/88,69,7.69,5,TRUE,8.257764224,69.84419962
7,1988,1,5/30/88,70,7.7,11,TRUE,2.392690085,73.08882876
7,1988,1,5/30/88,84,7.84,0,TRUE,2.961978014,70.32405232
7,1988,1,5/30/88,85,7.85,0,TRUE,12.15334701,47.61942976
7,1988,1,5/30/88,86,7.86,0,TRUE,4.19499444,80.89380095
7,1988,1,5/30/88,92,7.92,0,TRUE,9.571577608,62.55631857
7,1988,1,5/30/88,93,7.93,0,TRUE,3.301843529,84.24172246
7,1988,1,5/30/88,100,7.1,0,TRUE,1.521422593,89.04850896
7,1988,1,5/30/88,112,7.112,0,TRUE,3.816478843,81.26612173
7,1988,1,5/30/88,122,7.122,0,TRUE,3.331651839,73.86269834
7,1988,1,5/30/88,134,7.134,0,TRUE,1.414764454,89.10149846
7,1988,1,5/30/88,154,7.154,0,TRUE,15.88022195,40.08345944
7,1988,1,5/30/88,155,7.155,0,TRUE,2.797042471,80.19372958
7,1988,1,5/30/88,182,7.182,0,TRUE,3.362645174,81.81786914
7,1988,1,5/30/88,183,7.183,0,TRUE,3.154986415,66.54132321
7,1988,1,5/30/88,193,7.193,0,TRUE,4.095833095,66.009056
7,1988,1,5/30/88,194,7.194,0,TRUE,10.27548809,61.24135875
7,1988,1,5/30/88,225,7.225,0,TRUE,10.75432764,56.99644618
7,1988,1,5/30/88,240,7.24,0,TRUE,10.33170139,57.66765653
7,1988,1,5/30/88,242,7.242,0,TRUE,4.848213876,78.29825285
7,1988,1,5/30/88,243,7.243,0,TRUE,9.841440904,59.84889307
7,1988,1,5/30/88,247,7.247,0,TRUE,13.63084048,45.96726122
7,1989,1,4/22/89,17,7.17,0,TRUE,9.372026096,70.26497128
7,1989,1,4/22/89,18,7.18,0,TRUE,5.108744253,79.27610837
7,1989,1,4/22/89,19,7.19,0,TRUE,1.982229865,87.5609057
7,1989,1,4/22/89,40,7.4,0,TRUE,9.087053213,73.91040191
7,1989,1,4/22/89,41,7.41,0,TRUE,5.719493741,77.45219425
7,1989,1,4/22/89,42,7.42,0,TRUE,5.547147312,83.42964594
7,1989,1,4/22/89,52,7.52,0,TRUE,2.447664687,89.11333777
7,1989,1,4/22/89,53,7.53,0,TRUE,2.603372577,80.1084452
7,1989,1,4/22/89,54,7.54,0,TRUE,1.704825562,91.98032629
7,1989,1,4/22/89,68,7.68,0,TRUE,2.57703595,84.16406823
7,1989,1,4/22/89,69,7.69,0,TRUE,10.55980373,69.77082784
7,1989,1,4/22/89,70,7.7,0,TRUE,3.003760433,73.03150509
7,1989,1,4/22/89,84,7.84,12,TRUE,3.96038469,70.25756829
7,1989,1,4/22/89,85,7.85,0,TRUE,13.83860502,47.56440093
7,1989,1,4/22/89,86,7.86,0,TRUE,4.902376667,80.75622256
7,1989,1,4/22/89,92,7.92,0,TRUE,10.97251998,62.51619338
7,1989,1,4/22/89,93,7.93,0,TRUE,4.026414748,84.12707512
7,1989,1,4/22/89,100,7.1,0,TRUE,2.035060364,88.94761583
7,1989,1,4/22/89,112,7.112,0,TRUE,4.521535763,81.14803902
7,1989,1,4/22/89,122,7.122,0,TRUE,5.029579015,73.75149042
7,1989,1,4/22/89,134,7.134,0,TRUE,1.920365041,88.98799629
7,1989,1,4/22/89,154,7.154,0,TRUE,17.48521117,40.04448113
7,1989,1,4/22/89,155,7.155,0,TRUE,3.754227088,80.07795036
7,1989,1,4/22/89,182,7.182,0,TRUE,3.860220355,81.71583183
7,1989,1,4/22/89,183,7.183,0,TRUE,4.353009963,66.49890516
7,1989,1,4/22/89,193,7.193,0,TRUE,5.858886915,65.9058864
7,1989,1,4/22/89,194,7.194,0,TRUE,12.00660346,61.21040504
7,1989,1,4/22/89,225,7.225,0,TRUE,12.54958157,56.95517597
7,1989,1,4/22/89,240,7.24,0,TRUE,11.8451678,57.62638018
7,1989,1,4/22/89,242,7.242,0,TRUE,5.278121704,78.1687073
7,1989,1,4/22/89,243,7.243,0,TRUE,11.20232049,59.80761955
7,1989,1,4/22/89,247,7.247,0,TRUE,15.64835618,45.92026228
7,1989,1,4/23/89,17,7.17,0,TRUE,9.372026096,70.26497128
7,1989,1,4/23/89,18,7.18,0,TRUE,5.108744253,79.27610837
7,1989,1,4/23/89,19,7.19,0,TRUE,1.982229865,87.5609057
7,1989,1,4/23/89,40,7.4,0,TRUE,9.087053213,73.91040191
7,1989,1,4/23/89,41,7.41,0,TRUE,5.719493741,77.45219425
7,1989,1,4/23/89,42,7.42,0,TRUE,5.547147312,83.42964594
7,1989,1,4/23/89,52,7.52,0,TRUE,2.447664687,89.11333777
7,1989,1,4/23/89,53,7.53,0,TRUE,2.603372577,80.1084452
7,1989,1,4/23/89,54,7.54,0,TRUE,1.704825562,91.98032629
7,1989,1,4/23/89,68,7.68,0,TRUE,2.57703595,84.16406823
7,1989,1,4/23/89,69,7.69,0,TRUE,10.55980373,69.77082784
7,1989,1,4/23/89,70,7.7,0,TRUE,3.003760433,73.03150509
7,1989,1,4/23/89,84,7.84,14,TRUE,3.96038469,70.25756829
7,1989,1,4/23/89,85,7.85,6,TRUE,13.83860502,47.56440093
7,1989,1,4/23/89,86,7.86,8,TRUE,4.902376667,80.75622256
